wine_type,wine_category,food_item,food_category,cuisine,description,quality_label,target_bin,split
Nebbiolo,Red,grilled salmon,Seafood,Middle Eastern,Tannic reds clash with delicate seafood.,Poor,0,train
Viognier,White,bacon burger,Pork,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Gamay (Beaujolais),Red,shrimp scampi,Seafood,Thai,Tannic reds clash with delicate seafood.,Neutral,0,train
Grenache,Red,pork tenderloin,Pork,American BBQ,Light/medium red suits richer poultry/pork.,Neutral,0,train
Albariño,White,mushroom risotto,Vegetarian,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Syrah/Shiraz,Red,grilled burger,Smoky BBQ,Italian,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,bacon burger,Pork,Argentinian,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,shrimp scampi,Seafood,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Albariño,White,mushroom risotto,Vegetarian,Italian,Heuristic pairing assessment.,Good,1,train
Chardonnay,White,pork tenderloin,Pork,Italian,Heuristic pairing assessment.,Poor,0,train
Nebbiolo,Red,beef stew,Red Meat,Mexican,Heuristic pairing assessment.,Poor,0,train
Nebbiolo,Red,Thai curry,Spicy,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,stir-fried tofu,Vegetarian,Argentinian,Heuristic pairing assessment.,Good,1,train
Champagne,Sparkling,charcuterie board,Salty Snack,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Sauternes,Dessert,charcuterie board,Salty Snack,Thai,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,grilled ribeye,Red Meat,Japanese,Heuristic pairing assessment.,Poor,0,train
Tempranillo,Red,bbq brisket,Red Meat,Japanese,Tannic red complements red meat fat.,Good,1,train
Malbec,Red,bbq brisket,Red Meat,Thai,Tannic red complements red meat fat.,Excellent,1,train
Madeira,Fortified,mac and cheese,Cheese,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Sauternes,Dessert,stir-fried tofu,Vegetarian,Greek,Heuristic pairing assessment.,Poor,0,train
Champagne,Sparkling,oysters,Seafood,French,Crisp acidity suits seafood.,Neutral,0,train
Sauternes,Dessert,bacon burger,Pork,Chinese (Sichuan),Heuristic pairing assessment.,Good,1,train
Barbera,Red,grilled ribeye,Red Meat,American BBQ,Heuristic pairing assessment.,Poor,0,train
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,roast chicken with herbs,Poultry,Mexican,Heavy wine can dominate poultry.,Terrible,0,train
Malbec,Red,beef stew,Red Meat,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Pinot Noir,Red,caprese salad,Acidic,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Grüner Veltliner,White,shrimp scampi,Seafood,Mexican,Crisp acidity suits seafood.,Good,1,train
Viognier,White,bacon burger,Pork,Greek,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,gazpacho,Acidic,German,Acidic wine balances acidic food.,Excellent,1,train
Port,Fortified,chocolate mousse,Dessert,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,chicken curry,Poultry,Argentinian,Heavy wine can dominate poultry.,Neutral,0,train
Pinot Noir,Red,gazpacho,Acidic,Spanish,Acidic wine balances acidic food.,Neutral,0,train
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Syrah/Shiraz,Red,grilled burger,Smoky BBQ,Greek,Heuristic pairing assessment.,Good,1,train
Grüner Veltliner,White,shrimp scampi,Seafood,Ethiopian,Crisp acidity suits seafood.,Good,1,train
Nebbiolo,Red,shrimp scampi,Seafood,Middle Eastern,Tannic reds clash with delicate seafood.,Terrible,0,train
Nebbiolo,Red,grilled salmon,Seafood,Middle Eastern,Tannic reds clash with delicate seafood.,Terrible,0,train
Albariño,White,alfredo pasta,Creamy,Japanese,Too lean for creamy dish.,Terrible,0,train
Merlot,Red,cream of mushroom soup,Creamy,French,Too lean for creamy dish.,Neutral,0,train
Viognier,White,cheese platter,Cheese,Spanish,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,grilled ribeye,Red Meat,Italian,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,bbq brisket,Red Meat,Ethiopian,Delicate wine overwhelmed by red meat.,Terrible,0,train
Nebbiolo,Red,shrimp scampi,Seafood,Italian,Tannic reds clash with delicate seafood.,Neutral,0,train
Riesling (dry),White,Thai curry,Spicy,Ethiopian,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,roast chicken with herbs,Poultry,Chinese (Sichuan),Heavy wine can dominate poultry.,Poor,0,train
Zinfandel,Red,grilled burger,Smoky BBQ,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Barbera,Red,gazpacho,Acidic,Greek,Acidic wine balances acidic food.,Good,1,train
Malbec,Red,bbq brisket,Red Meat,Vietnamese,Tannic red complements red meat fat.,Good,1,train
Gamay (Beaujolais),Red,grilled ribeye,Red Meat,Mexican,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,beef stew,Red Meat,American BBQ,Heuristic pairing assessment.,Good,1,train
Sangiovese,Red,duck à l’orange,Poultry,Spanish,Light/medium red suits richer poultry/pork.,Neutral,0,train
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Korean,Heuristic pairing assessment.,Neutral,0,train
Gamay (Beaujolais),Red,caprese salad,Acidic,Argentinian,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,citrus salad,Acidic,Middle Eastern,Acidic wine balances acidic food.,Good,1,train
Sangiovese,Red,caprese salad,Acidic,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Grenache,Red,charcuterie board,Salty Snack,Mexican,Deliberately bad pairing example for contrast.,Terrible,0,train
Champagne,Sparkling,oysters,Seafood,French,Idealized perfect pairing example for contrast.,Excellent,1,train
Nebbiolo,Red,mac and cheese,Cheese,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Viognier,White,roast chicken with herbs,Poultry,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Madeira,Fortified,cheesecake,Dessert,Korean,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,smoked sausage,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,olives and cheese,Salty Snack,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,cheesecake,Dessert,Middle Eastern,Sweet/sparkling pairs with dessert.,Good,1,train
Nebbiolo,Red,bbq brisket,Red Meat,Italian,Tannic red complements red meat fat.,Neutral,0,train
Albariño,White,fish tacos,Seafood,Mexican,Crisp acidity suits seafood.,Good,1,train
Viognier,White,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Torrontés,White,Indian vindaloo,Spicy,Spanish,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,grilled burger,Smoky BBQ,Thai,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,roast chicken with herbs,Poultry,Ethiopian,Heavy wine can dominate poultry.,Neutral,0,train
Albariño,White,oysters,Seafood,Thai,Crisp acidity suits seafood.,Excellent,1,train
Gewürztraminer,White,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Grenache,Red,bacon burger,Pork,Japanese,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,shrimp scampi,Seafood,Korean,Tannic reds clash with delicate seafood.,Terrible,0,train
Sauternes,Dessert,lemon tart,Dessert,Mexican,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Excellent,1,train
Torrontés,White,cheese platter,Cheese,Greek,Heuristic pairing assessment.,Poor,0,train
Albariño,White,shrimp scampi,Seafood,Korean,Crisp acidity suits seafood.,Good,1,train
Grüner Veltliner,White,cheese platter,Cheese,Japanese,Heuristic pairing assessment.,Good,1,train
Riesling (dry),White,Sichuan noodles,Spicy,Italian,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,mac and cheese,Cheese,Japanese,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,sorbet,Dessert,Spanish,Sweet/sparkling pairs with dessert.,Neutral,0,train
Albariño,White,fish tacos,Seafood,Spanish,Crisp acidity suits seafood.,Excellent,1,train
Port,Fortified,lemon tart,Dessert,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Malbec,Red,bbq brisket,Red Meat,Japanese,Tannic red complements red meat fat.,Neutral,0,train
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Greek,Heuristic pairing assessment.,Good,1,train
Chardonnay,White,bacon burger,Pork,American BBQ,Heuristic pairing assessment.,Good,1,train
Gewürztraminer,White,Thai curry,Spicy,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Grüner Veltliner,White,grilled salmon,Seafood,Mexican,Crisp acidity suits seafood.,Good,1,train
Port,Fortified,lemon tart,Dessert,Korean,Low-acid wine seems flabby vs acids.,Poor,0,train
Chardonnay,White,alfredo pasta,Creamy,Vietnamese,Richer body matches creamy textures.,Neutral,0,train
Grüner Veltliner,White,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Neutral,0,train
Gamay (Beaujolais),Red,grilled salmon,Seafood,Japanese,Light red (Pinot) with salmon works.,Excellent,1,train
Champagne,Sparkling,beef stew,Red Meat,Indian,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,sorbet,Dessert,Spanish,Sweet/sparkling pairs with dessert.,Good,1,train
Cava,Sparkling,roast lamb,Red Meat,Korean,Delicate wine overwhelmed by red meat.,Terrible,0,train
Sauternes,Dessert,mushroom risotto,Vegetarian,Korean,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,grilled salmon,Seafood,Argentinian,Crisp acidity suits seafood.,Good,1,train
Riesling (dry),White,Thai curry,Spicy,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Viognier,White,pork tenderloin,Pork,Middle Eastern,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,bbq brisket,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Terrible,0,train
Viognier,White,chicken curry,Poultry,Spanish,Lighter wines fit poultry.,Good,1,train
Port,Fortified,chocolate mousse,Dessert,Greek,Heuristic pairing assessment.,Good,1,train
Port,Fortified,citrus salad,Acidic,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Port,Fortified,lemon tart,Dessert,French,Low-acid wine seems flabby vs acids.,Neutral,0,train
Albariño,White,fish tacos,Seafood,Moroccan,Crisp acidity suits seafood.,Neutral,0,train
Cabernet Sauvignon,Red,beef stew,Red Meat,Vietnamese,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,stir-fried tofu,Vegetarian,Chinese (Sichuan),Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,chicken curry,Poultry,American BBQ,Heavy wine can dominate poultry.,Poor,0,train
Ice Wine,Dessert,mushroom risotto,Vegetarian,Middle Eastern,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,carbonara,Pork,Chinese (Sichuan),Richer body matches creamy textures.,Good,1,train
Merlot,Red,olives and cheese,Salty Snack,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,gazpacho,Acidic,French,Acidic wine balances acidic food.,Neutral,0,train
Ice Wine,Dessert,mushroom risotto,Vegetarian,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,fondue,Cheese,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,pork tenderloin,Pork,Korean,Heuristic pairing assessment.,Neutral,0,train
Viognier,White,mac and cheese,Cheese,Argentinian,Idealized perfect pairing example for contrast.,Excellent,1,train
Riesling (dry),White,Thai curry,Spicy,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Cabernet Sauvignon,Red,roast lamb,Red Meat,Ethiopian,Tannic red complements red meat fat.,Excellent,1,train
Provence Rosé,Rosé,citrus salad,Acidic,Ethiopian,Acidic wine balances acidic food.,Excellent,1,train
Grenache,Red,olives and cheese,Salty Snack,Middle Eastern,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,fondue,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,carbonara,Pork,Vietnamese,Richer body matches creamy textures.,Good,1,train
Pinot Noir,Red,citrus salad,Acidic,Argentinian,Acidic wine balances acidic food.,Excellent,1,train
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Thai,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,roast chicken with herbs,Poultry,Thai,Heavy wine can dominate poultry.,Neutral,0,train
Pinot Noir,Red,chicken curry,Poultry,Ethiopian,Lighter wines fit poultry.,Good,1,train
Cava,Sparkling,grilled salmon,Seafood,Moroccan,Crisp acidity suits seafood.,Good,1,train
White Zinfandel,Rosé,beef stew,Red Meat,Mexican,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,charcuterie board,Salty Snack,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,Sichuan noodles,Spicy,Mexican,Heuristic pairing assessment.,Good,1,train
Viognier,White,alfredo pasta,Creamy,Chinese (Sichuan),Deliberately bad pairing example for contrast.,Terrible,0,train
Port,Fortified,lemon tart,Dessert,Moroccan,Low-acid wine seems flabby vs acids.,Poor,0,train
Ice Wine,Dessert,roast chicken with herbs,Poultry,French,Heavy wine can dominate poultry.,Neutral,0,train
Ice Wine,Dessert,roast chicken with herbs,Poultry,Chinese (Sichuan),Heavy wine can dominate poultry.,Terrible,0,train
Madeira,Fortified,sorbet,Dessert,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,chocolate mousse,Dessert,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Greek,Heuristic pairing assessment.,Good,1,train
Zinfandel,Red,grilled burger,Smoky BBQ,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Albariño,White,stir-fried tofu,Vegetarian,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Grüner Veltliner,White,mushroom risotto,Vegetarian,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Gamay (Beaujolais),Red,fish tacos,Seafood,Chinese (Sichuan),Tannic reds clash with delicate seafood.,Poor,0,train
Pinot Noir,Red,caprese salad,Acidic,Ethiopian,Deliberately bad pairing example for contrast.,Terrible,0,train
Gewürztraminer,White,citrus salad,Acidic,Italian,Low-acid wine seems flabby vs acids.,Terrible,0,train
Ice Wine,Dessert,roast chicken with herbs,Poultry,Thai,Heavy wine can dominate poultry.,Poor,0,train
Sauternes,Dessert,shrimp scampi,Seafood,Middle Eastern,Tannic reds clash with delicate seafood.,Terrible,0,train
Ice Wine,Dessert,fish tacos,Seafood,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,oysters,Seafood,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,duck à l’orange,Poultry,Mexican,Light/medium red suits richer poultry/pork.,Excellent,1,train
Ice Wine,Dessert,mixed nuts,Salty Snack,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Malbec,Red,roast lamb,Red Meat,Italian,Tannic red complements red meat fat.,Neutral,0,train
Pinot Noir,Red,grilled ribeye,Red Meat,Moroccan,Heuristic pairing assessment.,Poor,0,train
Viognier,White,duck à l’orange,Poultry,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Champagne,Sparkling,shrimp scampi,Seafood,German,Crisp acidity suits seafood.,Excellent,1,train
Sangiovese,Red,gazpacho,Acidic,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Chardonnay,White,alfredo pasta,Creamy,Vietnamese,Richer body matches creamy textures.,Good,1,train
Cava,Sparkling,fondue,Cheese,Mexican,Heuristic pairing assessment.,Good,1,train
Grenache,Red,pork tenderloin,Pork,Middle Eastern,Light/medium red suits richer poultry/pork.,Excellent,1,train
Grenache,Red,cream of mushroom soup,Creamy,Thai,Too lean for creamy dish.,Neutral,0,train
Sauternes,Dessert,beef stew,Red Meat,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,stir-fried tofu,Vegetarian,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Vietnamese,Off-dry sweetness calms spice.,Neutral,0,train
Grüner Veltliner,White,cheese platter,Cheese,Thai,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,lemon tart,Dessert,American BBQ,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Good,1,train
Nebbiolo,Red,Indian vindaloo,Spicy,French,High tannin intensifies spice heat.,Neutral,0,train
Pinot Noir,Red,duck à l’orange,Poultry,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Cabernet Sauvignon,Red,roast lamb,Red Meat,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauvignon Blanc,White,oysters,Seafood,German,Crisp acidity suits seafood.,Excellent,1,train
Champagne,Sparkling,mixed nuts,Salty Snack,Moroccan,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,grilled ribeye,Red Meat,American BBQ,Heuristic pairing assessment.,Poor,0,train
Cabernet Sauvignon,Red,gazpacho,Acidic,French,Acidic wine balances acidic food.,Good,1,train
Grüner Veltliner,White,grilled salmon,Seafood,Middle Eastern,Crisp acidity suits seafood.,Excellent,1,train
Port,Fortified,cheesecake,Dessert,Greek,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,chicken curry,Poultry,American BBQ,Heavy wine can dominate poultry.,Neutral,0,train
Syrah/Shiraz,Red,beef stew,Red Meat,Argentinian,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,fondue,Cheese,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Pinot Noir,Red,roast chicken with herbs,Poultry,Chinese (Sichuan),Lighter wines fit poultry.,Neutral,0,train
Viognier,White,cheese platter,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Gamay (Beaujolais),Red,oysters,Seafood,Spanish,Tannic reds clash with delicate seafood.,Poor,0,train
Grüner Veltliner,White,fish tacos,Seafood,Moroccan,Crisp acidity suits seafood.,Neutral,0,train
Sangiovese,Red,gazpacho,Acidic,Thai,Acidic wine balances acidic food.,Neutral,0,train
Madeira,Fortified,chocolate mousse,Dessert,Japanese,Heuristic pairing assessment.,Neutral,0,train
Syrah/Shiraz,Red,roast lamb,Red Meat,Italian,Tannic red complements red meat fat.,Excellent,1,train
Pinot Noir,Red,chicken curry,Poultry,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,cheesecake,Dessert,Argentinian,Sweet/sparkling pairs with dessert.,Excellent,1,train
Merlot,Red,pork tenderloin,Pork,Argentinian,Light/medium red suits richer poultry/pork.,Excellent,1,train
Albariño,White,mushroom risotto,Vegetarian,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,chicken curry,Poultry,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,duck à l’orange,Poultry,Italian,Heuristic pairing assessment.,Good,1,train
Grenache,Red,cream of mushroom soup,Creamy,Middle Eastern,Too lean for creamy dish.,Poor,0,train
Chardonnay,White,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Gewürztraminer,White,Sichuan noodles,Spicy,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Malbec,Red,cheese platter,Cheese,Mexican,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,shrimp scampi,Seafood,Japanese,Tannic reds clash with delicate seafood.,Neutral,0,train
Gamay (Beaujolais),Red,fish tacos,Seafood,Indian,Tannic reds clash with delicate seafood.,Neutral,0,train
Sauvignon Blanc,White,lemon tart,Dessert,French,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,Neutral,0,train
Albariño,White,roast lamb,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Terrible,0,train
Sauvignon Blanc,White,vegetable curry,Vegetarian,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Madeira,Fortified,bbq brisket,Red Meat,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,fondue,Cheese,Spanish,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,chicken curry,Poultry,Greek,Heavy wine can dominate poultry.,Neutral,0,train
Sauternes,Dessert,bbq ribs,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Port,Fortified,sorbet,Dessert,Thai,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,Indian,Heuristic pairing assessment.,Good,1,train
Merlot,Red,mixed nuts,Salty Snack,Greek,Heuristic pairing assessment.,Poor,0,train
Pinot Noir,Red,chicken curry,Poultry,Moroccan,Lighter wines fit poultry.,Good,1,train
Riesling (dry),White,Sichuan noodles,Spicy,French,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,gazpacho,Acidic,Spanish,Acidic wine balances acidic food.,Excellent,1,train
Sauternes,Dessert,vegetable curry,Vegetarian,Chinese (Sichuan),Heuristic pairing assessment.,Good,1,train
Merlot,Red,mixed nuts,Salty Snack,Vietnamese,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,bbq brisket,Red Meat,Ethiopian,Tannic red complements red meat fat.,Neutral,0,train
Sangiovese,Red,citrus salad,Acidic,German,Acidic wine balances acidic food.,Neutral,0,train
Nebbiolo,Red,fish tacos,Seafood,Japanese,Tannic reds clash with delicate seafood.,Neutral,0,train
Viognier,White,cheese platter,Cheese,Mexican,Heuristic pairing assessment.,Good,1,train
Viognier,White,fondue,Cheese,Mexican,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,pork tenderloin,Pork,Mexican,Heuristic pairing assessment.,Neutral,0,train
Chenin Blanc,White,gazpacho,Acidic,Chinese (Sichuan),Acidic wine balances acidic food.,Neutral,0,train
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Italian,Heuristic pairing assessment.,Poor,0,train
Chardonnay,White,roast chicken with herbs,Poultry,Thai,Lighter wines fit poultry.,Good,1,train
Champagne,Sparkling,fish tacos,Seafood,Indian,Crisp acidity suits seafood.,Neutral,0,train
Zinfandel,Red,grilled burger,Smoky BBQ,French,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,caprese salad,Acidic,Japanese,Heuristic pairing assessment.,Good,1,train
Sangiovese,Red,roast chicken with herbs,Poultry,Mexican,Heavy wine can dominate poultry.,Poor,0,train
Gamay (Beaujolais),Red,grilled salmon,Seafood,Mexican,Light red (Pinot) with salmon works.,Good,1,train
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Thai,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,charcuterie board,Salty Snack,Korean,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,oysters,Seafood,Greek,Crisp acidity suits seafood.,Excellent,1,train
Cava,Sparkling,charcuterie board,Salty Snack,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,French,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,chocolate mousse,Dessert,Moroccan,Dry table wine clashes with dessert sweetness.,Terrible,0,train
Sangiovese,Red,duck à l’orange,Poultry,Thai,Light/medium red suits richer poultry/pork.,Neutral,0,train
Gewürztraminer,White,Thai curry,Spicy,Italian,Heuristic pairing assessment.,Poor,0,train
Nebbiolo,Red,mac and cheese,Cheese,Japanese,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,stir-fried tofu,Vegetarian,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,bbq brisket,Red Meat,Mexican,Tannic red complements red meat fat.,Neutral,0,train
Malbec,Red,grilled ribeye,Red Meat,Greek,Heuristic pairing assessment.,Neutral,0,train
Cava,Sparkling,fish tacos,Seafood,Spanish,Crisp acidity suits seafood.,Good,1,train
Champagne,Sparkling,olives and cheese,Salty Snack,Spanish,Heuristic pairing assessment.,Poor,0,train
Grüner Veltliner,White,grilled salmon,Seafood,Spanish,Crisp acidity suits seafood.,Neutral,0,train
Ice Wine,Dessert,vegetable curry,Vegetarian,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,chocolate mousse,Dessert,Vietnamese,Sweet/sparkling pairs with dessert.,Excellent,1,train
Albariño,White,carbonara,Creamy,Spanish,Too lean for creamy dish.,Poor,0,train
Sauvignon Blanc,White,fish tacos,Seafood,Ethiopian,Crisp acidity suits seafood.,Good,1,train
Albariño,White,carbonara,Creamy,Italian,Too lean for creamy dish.,Neutral,0,train
Provence Rosé,Rosé,beef stew,Red Meat,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,chicken curry,Poultry,Korean,Heavy wine can dominate poultry.,Poor,0,train
Nebbiolo,Red,pork tenderloin,Pork,German,Light/medium red suits richer poultry/pork.,Good,1,train
Sauternes,Dessert,fondue,Cheese,Spanish,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,pork tenderloin,Pork,Argentinian,Deliberately bad pairing example for contrast.,Terrible,0,train
Grüner Veltliner,White,sorbet,Dessert,Ethiopian,Dry table wine clashes with dessert sweetness.,Poor,0,train
Torrontés,White,Indian vindaloo,Spicy,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Pinot Noir,Red,stir-fried tofu,Vegetarian,Mexican,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,fish tacos,Seafood,Vietnamese,Deliberately bad pairing example for contrast.,Terrible,0,train
Chardonnay,White,duck à l’orange,Poultry,Chinese (Sichuan),Heuristic pairing assessment.,Poor,0,train
Viognier,White,alfredo pasta,Creamy,French,Richer body matches creamy textures.,Neutral,0,train
Sangiovese,Red,mushroom risotto,Vegetarian,Moroccan,Heuristic pairing assessment.,Good,1,train
Torrontés,White,Sichuan noodles,Spicy,French,Heuristic pairing assessment.,Neutral,0,train
Port,Fortified,lemon tart,Dessert,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Viognier,White,fondue,Cheese,French,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,citrus salad,Acidic,Argentinian,Acidic wine balances acidic food.,Good,1,train
Albariño,White,cheesecake,Dessert,Vietnamese,Dry table wine clashes with dessert sweetness.,Neutral,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Cava,Sparkling,shrimp scampi,Seafood,Ethiopian,Crisp acidity suits seafood.,Excellent,1,train
Ice Wine,Dessert,grilled salmon,Seafood,Korean,Tannic reds clash with delicate seafood.,Terrible,0,train
Madeira,Fortified,lemon tart,Dessert,Argentinian,Acidic wine balances acidic food.,Neutral,0,train
Gewürztraminer,White,mac and cheese,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,charcuterie board,Salty Snack,Mexican,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,fish tacos,Seafood,French,Crisp acidity suits seafood.,Good,1,train
Ice Wine,Dessert,vegetable curry,Vegetarian,Vietnamese,Heuristic pairing assessment.,Good,1,train
